,미나리,깻잎,부추,무,열무,당근,감자,고구마,도라지 ,콩나물,버섯,오이,고추(풋고추),호박,가지,토마토,파,양파,마늘,브로콜리,고사리,파프리카,단무지,김(김+맛김),미역,초콜릿,사탕,껌,아이스크림,과자(비스킷+스낵과자+파이),설탕,잼,꿀,물엿,고추가루,참깨,생강,소금,간장,된장,소스(양념소스),고추장,카레,식초,드레싱,다시(혼합조미료),스프,영유아식(이유식),김치,반찬(밑반찬),냉동식품,인스턴트(즉석식품),편의점도시락,삼각김밥,커피,차,주스,두유,생수,"음료(기능성음료, 탄산음료, 기타 음료)",소주,와인(과실주),맥주,막걸리,양주(양주+약주),담배,"남자옷(남자외의, 남자상의, 남자하의, 남자내의)"
2020-01-06,0.54352,14.66886,47.88732,72.10914,14.98578,12.02604,6.47492,49.52426,41.5127,39.54557,52.03385,33.27133,21.3471,25.16083,38.83713,21.16454,11.23486,100.0,25.10726,73.41133,20.02492,19.21901,6.84755,80.4678,13.77949,14.82854,13.35747,52.39151,27.11848,14.36584,19.93116,100.0,59.24621,70.6465,21.65546,19.44698,22.28712,1.66372,46.45884,11.47614,53.02436,41.29644,56.18031,47.9911,64.26526,64.26526,58.66061,77.35698,22.05626,59.00386,24.24371,48.22592,38.94528,37.12278,40.6397,76.50889,40.87282,64.19474,13.37928,43.197,41.64841,28.38157,62.46953,40.31531,11.87912,8.15939,64.44084
2020-01-13,0.5644,14.3605,47.43506,67.07492,14.1821,12.12585,6.01533,44.36378,46.91429,38.67916,57.23559,34.3826,21.52129,24.35023,38.78722,18.58662,10.99628,18.0005,20.08091,69.97782,23.00563,18.82104,6.90653,85.56064,13.34385,15.63513,12.6796,69.59138,26.25187,14.26064,19.61827,18.73551,70.00743,72.00208,20.60428,19.07332,21.26845,1.67308,48.06312,11.46187,50.91156,41.45799,56.92366,49.18789,59.87595,59.87595,52.82428,76.14112,22.01891,55.44907,21.23555,46.52425,38.43111,36.35535,40.58918,82.2372,37.68133,61.3489,12.33786,43.03662,39.49489,30.03877,59.5565,33.89222,12.38105,8.48001,65.99135
2020-01-20,0.54156,11.1872,38.36412,62.77917,14.08409,9.77681,4.13801,26.07474,48.26148,34.35593,54.70457,27.31912,20.75816,20.61888,32.05789,12.92684,10.84434,14.77124,16.15381,54.98202,41.90873,14.37083,5.62228,67.10875,9.81785,5.19179,10.42873,54.45042,25.57165,11.2719,14.95619,16.36398,50.00743,54.22314,14.8314,15.5609,15.18229,1.44432,100.0,10.46528,38.67779,31.26009,34.10845,41.64814,49.28435,49.28435,40.10327,61.47099,16.35015,32.88345,13.12882,34.82983,34.10678,24.28459,38.02141,70.55127,29.08607,38.812,8.26116,32.15717,38.32926,32.03706,57.65412,48.38171,13.31666,7.98284,61.0967
2020-01-27,1.23422,13.49994,41.09058,66.93984,14.49573,12.52277,5.51067,43.65828,42.98178,36.53965,50.33281,33.89612,21.53373,22.86412,37.41473,19.45834,11.28384,22.36526,31.33913,73.07486,24.34966,20.07871,6.54726,70.21461,11.94339,3.46613,13.29663,56.19258,31.10948,13.60811,18.81518,10.75396,50.14629,61.31386,20.21368,15.7851,21.06414,1.54726,52.51076,13.53251,46.89044,46.28432,50.29066,58.6083,56.91793,56.91793,50.14864,85.20364,24.93687,48.28975,20.84466,47.4656,41.48978,30.08584,38.35339,79.02678,38.6968,66.59923,17.7793,39.85565,39.97023,25.81371,60.35907,35.25191,44.26005,8.20922,77.32576
2020-02-03,1.22921,14.24934,46.32381,70.0108,15.97569,18.09593,6.69359,51.19203,42.74441,43.06427,53.13501,36.73391,21.19364,25.07076,40.8501,21.63823,12.14274,21.92703,27.5142,81.63951,31.0969,23.28664,7.10761,75.07113,14.1625,5.86326,16.36732,61.38739,35.38295,15.72229,21.21923,11.51709,48.68336,72.78415,23.14894,18.42564,21.36341,1.89457,50.44998,14.76756,55.12012,49.46486,60.94062,53.56471,58.70706,58.70706,57.78438,83.19048,29.43916,62.23036,25.82426,50.83272,42.14897,36.69354,40.32071,79.48541,40.59477,70.29102,15.46964,42.90296,40.0405,25.96817,64.15789,38.4718,12.19929,8.37927,74.21393
2020-02-10,1.51551,14.42504,48.63677,70.15489,18.83759,17.59688,7.22663,53.91925,38.41416,57.21863,53.53767,40.22511,23.09319,28.5126,42.29745,27.62505,14.35029,19.93845,25.96951,79.81188,23.47712,21.76953,7.42399,74.07282,15.01915,10.66691,23.1402,60.5955,34.63356,15.18029,22.4395,30.00627,46.22365,78.36287,24.34947,18.50867,18.64406,2.24083,47.29359,14.28862,55.44385,52.09006,61.43143,57.00119,63.21564,63.21564,56.43874,84.5658,27.87972,64.97272,24.69408,50.81462,40.79103,35.41883,42.22597,81.3658,41.48936,70.58066,14.29036,47.26009,40.14384,28.29469,68.82468,44.26926,12.78859,8.86344,84.99189
2020-02-17,1.665,15.78041,53.96046,70.86635,20.07252,15.69351,8.65549,67.55174,38.42057,53.66457,53.98964,41.1933,22.96462,28.4354,44.11079,27.8648,14.36787,22.64768,27.98005,77.63248,21.82419,20.61959,7.34355,85.98987,14.98114,3.29597,17.80417,54.3554,44.0817,16.8281,22.7211,10.63562,51.17282,69.76016,24.13694,17.73644,21.4411,2.04846,53.48897,15.17109,55.34162,51.35298,69.48441,57.08668,63.66889,63.66889,62.76013,83.31007,31.13553,74.44332,66.18796,76.66545,43.20369,34.61238,38.54969,80.77875,44.6204,78.1941,26.58625,45.62951,37.08924,24.37854,68.03995,35.35618,12.20056,8.24929,71.26418
2020-02-24,1.36967,18.76725,60.26618,78.15201,26.59021,21.93632,11.87097,79.9964,54.7729,56.92688,60.38294,48.2377,23.90195,26.6598,43.35385,41.19783,19.38319,44.89803,37.3585,87.56595,23.13028,24.75759,8.09426,95.69327,16.91956,3.16004,21.63093,53.65853,52.56715,22.872,28.93199,9.73966,59.06273,77.32012,30.57039,18.47546,100.0,1.97957,63.98852,15.90885,57.89742,67.13449,90.27923,74.23491,61.66507,61.66507,65.96776,81.66234,42.38948,93.44917,100.0,100.0,53.28938,36.9797,38.74455,82.92056,45.18858,85.99604,32.73952,46.00374,42.97524,26.39132,76.99898,46.5382,12.60236,8.65548,74.08427
2020-03-02,1.72388,20.81107,69.78937,79.27773,37.18514,19.9169,11.02023,73.11776,61.57942,87.5873,65.42033,53.40296,24.86416,30.47478,49.1765,40.61241,19.91938,40.52353,32.33623,91.51181,26.05137,27.12121,8.15325,80.75717,16.15647,3.23712,35.7387,56.76274,65.18004,21.29837,31.35168,10.83607,62.62831,80.03128,33.54012,21.29037,44.80158,2.50391,63.11464,16.33073,61.40739,68.98222,100.0,70.64455,64.59923,64.59923,70.66186,88.89774,39.82538,100.0,54.9881,78.34902,54.47593,38.4105,42.69651,88.8048,45.20067,77.25162,19.24807,45.54931,42.20228,28.44271,76.25587,62.35402,12.86576,8.67822,77.89303
2020-03-09,2.07026,23.6258,79.84235,79.48487,44.29089,19.37142,100.0,76.33211,55.63895,100.0,82.97312,57.84804,26.32408,33.17678,51.06471,41.16058,21.14495,40.45926,35.29483,86.47243,28.6202,28.99452,8.17201,81.49505,16.55995,4.27896,100.0,60.53215,67.72798,21.18298,32.34772,9.51989,59.39003,90.04171,35.06232,23.25002,34.33858,2.22523,61.52341,20.9489,62.65121,66.06421,84.93757,70.43939,64.26526,64.26526,70.19245,90.6252,37.6418,96.77515,45.73419,72.62853,57.89057,41.36316,45.64533,91.66666,46.62717,76.61256,17.29369,52.17856,43.35551,30.61638,76.71363,65.65315,11.99775,8.52766,80.92922
